Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
LK,LK KNK,Kankesanturai,Kankesanturai,,1-------,,,
LK,LK KAY,Kayts,Kayts,,1-------,,,
LK,LK KCT,Koggala,Koggala,,1234----,,5.983333333333333,80.33333333333333
LK,LK KON,Kondavattavan,Kondavattavan,,1-3-----,,7.283333333333333,81.63333333333334
LK,LK MAN,Mannar,Mannar,,1-------,,,
LK,LK MAW,Mawella,Mawella,,1-3-----,,5.983333333333333,80.73333333333333
LK,LK MUL,Mulativu,Mulativu,,1-------,,,
LK,LK OLU,Oluvil,Oluvil,,1-------,,7.283333333333333,81.85
LK,LK PPE,Point Pedro,Point Pedro,,1-------,,,
LK,LK SGT,South Asia Gateway Terminal,South Asia Gateway Terminal,,1-------,,,
LK,LK TAL,Talaimannar,Talaimannar,,1-------,,,
LK,LK TRR,Trincomalee,Trincomalee,,1--4----,,,
LK,LK UCT,Unity Container Terminal,Unity Container Terminal,,1-------,,,
LR,LR UCN,Buchanan,Buchanan,,1--4----,,,
LR,LR CMT,Cape Mount,Cape Mount,,1-------,,,
LR,LR CPA,Cape Palmas,Cape Palmas,,1--4----,,,
LR,LR FIM,Fimibo,Fimibo,,1-------,,,
LR,LR GBS,Grand Bassa,Grand Bassa,,1-------,,,
LR,LR GRE,Greenville,Greenville,,1-------,,,
LR,LR HAR,Harper,Harper,MY,1-3-----,,4.366666666666666,-7.716666666666667
LR,LR LOB,Lower Buchanan,Lower Buchanan,,1-------,,,
LR,LR MAR,Marshall,Marshall,,1-------,,,
LR,LR MLW,Monrovia,Monrovia,MO,1-345---,,6.3,-10.8
LR,LR RVC,River Cess,River Cess,,1--4----,,5.466666666666667,-9.583333333333334
LR,LR ROX,Robertsport,Robertsport,,1-------,,,
LR,LR SAB,Sarioe Bay,Sarioe Bay,,1-------,,,
LR,LR SAZ,Sasstown,Sasstown,,1--4----,,,
LR,LR SNI,Sinoe,Sinoe,,1--4----,,,
LR,LR TRT,Trade Town,Trade Town,,1-------,,,
LT,LT BOT,Botingé,Botinge,,1-------,,56.06666666666667,21.116666666666667
LT,LT KLJ,Klaipeda,Klaipeda,,12-4----,,,
LT,LT MLM,Malku ilankos juru uosto PVP/Klaipeda,Malku ilankos juru uosto PVP/Klaipeda,KL,1-3----B,,55.71666666666667,21.116666666666667
LT,LT MOM,Molo juru uosto PVP/Klaipeda,Molo juru uosto PVP/Klaipeda,KL,1-3----B,,55.71666666666667,21.1
LT,LT PLM,Pilies juru uosto PVP/Klaipeda,Pilies juru uosto PVP/Klaipeda,KL,1-3----B,,55.71666666666667,21.083333333333332
LU,LU BKM,Bech-Kleinmacher,Bech-Kleinmacher,,1-3-----,,49.53333333333333,6.35
LU,LU EZT,Esch-sur-Alzette,Esch-sur-Alzette,,1-3-----,,49.5,5.983333333333333
